"","csu_id","trap_id","year","week","trap_date","county","method","spp","total","test_code","cq","copies_WNV","seq","zone","status"
"1","CDC016","BE-001",2024,25,"2024-06-19","LC","L","Tarsalis",50,0,TRUE,NA,NA,"BE","old + new"
"2","CDC017","BE-001",2024,25,"2024-06-19","LC","L","Tarsalis",40,0,TRUE,NA,NA,"BE","old + new"
"3","CDC018","BE-001",2024,25,"2024-06-19","LC","L","Tarsalis",3,0,TRUE,NA,NA,"BE","old + new"
"4","CDC015","BE-001",2024,25,"2024-06-19","LC","L","Pipiens",1,0,TRUE,NA,NA,"BE","old + new"
"5","CDC011","BE-002",2024,25,"2024-06-19","LC","L","Tarsalis",9,0,TRUE,NA,NA,"BE","old + new"
"6","CDC010","BE-002",2024,25,"2024-06-19","LC","L","Pipiens",1,0,TRUE,NA,NA,"BE","old + new"
"7","CDC009","BE-003",2024,25,"2024-06-19","LC","L","Tarsalis",43,0,TRUE,NA,NA,"BE","old + new"
"8","CDC012","BE-003",2024,25,"2024-06-19","LC","L","Tarsalis",1,0,TRUE,NA,NA,"BE","old + new"
"9","CSU00000","BE-003",2024,25,"2024-06-19","LC","L","Pipiens",0,NA,NA,NA,NA,"BE","old + new"
"10","CDC013","BE-004",2024,25,"2024-06-19","LC","L","Tarsalis",8,0,TRUE,NA,NA,"BE","old + new"
"11","CDC014","BE-004",2024,25,"2024-06-19","LC","L","Pipiens",1,0,TRUE,NA,NA,"BE","old + new"
"12","CDC005","BE-005",2024,25,"2024-06-19","LC","L","Tarsalis",5,0,TRUE,NA,NA,"BE","old + new"
"13","CDC008","BE-005",2024,25,"2024-06-19","LC","L","Pipiens",1,0,TRUE,NA,NA,"BE","old + new"
"14","CSU21898","LC-001",2024,25,"2024-06-19","LC","L","Tarsalis",1,0,TRUE,NA,NA,"BE","old + new"
"15","CSU21899","LC-001",2024,25,"2024-06-19","LC","L","Pipiens",1,0,TRUE,NA,NA,"BE","old + new"
"16","CSU21900","LC-049",2024,25,"2024-06-19","LC","L","Tarsalis",1,0,TRUE,NA,NA,"BE","old + new"
"17","CSU00000","LC-049",2024,25,"2024-06-19","LC","L","Pipiens",0,NA,NA,NA,NA,"BE","old + new"
"18","CSU21897","LC-054",2024,25,"2024-06-19","LC","L","Tarsalis",4,0,TRUE,NA,NA,"BE","old + new"
"19","CSU00000","LC-054",2024,25,"2024-06-19","LC","L","Pipiens",0,NA,NA,NA,NA,"BE","old + new"
"20","CDC027","BE-001",2024,26,"2024-06-26","LC","L","Tarsalis",11,0,TRUE,TRUE,NA,"BE","old + new"
"21","CDC028","BE-001",2024,26,"2024-06-26","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"22","CDC029","BE-001",2024,26,"2024-06-26","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"23","CDC030","BE-001",2024,26,"2024-06-26","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"24","CDC031","BE-001",2024,26,"2024-06-26","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"25","CDC032","BE-001",2024,26,"2024-06-26","LC","L","Tarsalis",4,0,TRUE,TRUE,NA,"BE","old + new"
"26","CDC026","BE-001",2024,26,"2024-06-26","LC","L","Pipiens",2,0,TRUE,TRUE,NA,"BE","old + new"
"27","CDC019","BE-002",2024,26,"2024-06-26","LC","L","Tarsalis",34,0,TRUE,FALSE,NA,"BE","old + new"
"28","CSU00000","BE-002",2024,26,"2024-06-26","LC","L","Pipiens",0,NA,NA,NA,NA,"BE","old + new"
"29","CDC033","BE-003",2024,26,"2024-06-26","LC","L","Tarsalis",18,0,TRUE,TRUE,NA,"BE","old + new"
"30","CDC034","BE-003",2024,26,"2024-06-26","LC","L","Tarsalis",5,0,TRUE,TRUE,NA,"BE","old + new"
"31","CDC035","BE-003",2024,26,"2024-06-26","LC","L","Tarsalis",38,0,TRUE,FALSE,NA,"BE","old + new"
"32","CSU00000","BE-003",2024,26,"2024-06-26","LC","L","Pipiens",0,NA,NA,NA,NA,"BE","old + new"
"33","CDC020","BE-004",2024,26,"2024-06-26","LC","L","Tarsalis",36,0,TRUE,FALSE,NA,"BE","old + new"
"34","CDC021","BE-004",2024,26,"2024-06-26","LC","L","Tarsalis",4,0,TRUE,TRUE,NA,"BE","old + new"
"35","CDC022","BE-004",2024,26,"2024-06-26","LC","L","Pipiens",8,0,TRUE,TRUE,NA,"BE","old + new"
"36","CDC024","BE-005",2024,26,"2024-06-26","LC","L","Tarsalis",1,0,TRUE,TRUE,NA,"BE","old + new"
"37","CDC025","BE-005",2024,26,"2024-06-26","LC","L","Tarsalis",24,0,TRUE,TRUE,NA,"BE","old + new"
"38","CDC023","BE-005",2024,26,"2024-06-26","LC","L","Pipiens",2,0,TRUE,TRUE,NA,"BE","old + new"
"39","CSU21981","LC-001",2024,26,"2024-06-26","LC","L","Tarsalis",16,0,TRUE,TRUE,NA,"BE","old + new"
"40","CSU21982","LC-001",2024,26,"2024-06-26","LC","L","Pipiens",3,0,TRUE,TRUE,NA,"BE","old + new"
"41","CSU21984","LC-049",2024,26,"2024-06-26","LC","L","Tarsalis",8,0,TRUE,TRUE,NA,"BE","old + new"
"42","CSU00000","LC-049",2024,26,"2024-06-26","LC","L","Pipiens",0,NA,NA,NA,NA,"BE","old + new"
"43","CSU21989","LC-053",2024,26,"2024-06-26","LC","L","Tarsalis",42,0,TRUE,FALSE,NA,"BE","old + new"
"44","CSU21990","LC-053",2024,26,"2024-06-26","LC","L","Pipiens",2,0,TRUE,TRUE,NA,"BE","old + new"
"45","CSU21978","LC-054",2024,26,"2024-06-26","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"46","CSU21979","LC-054",2024,26,"2024-06-26","LC","L","Tarsalis",8,0,TRUE,TRUE,NA,"BE","old + new"
"47","CSU21980","LC-054",2024,26,"2024-06-26","LC","L","Pipiens",2,0,TRUE,TRUE,NA,"BE","old + new"
"48","CSU21983","WC-055",2024,26,"2024-06-26","LC","L","Tarsalis",1,0,TRUE,TRUE,NA,"BE","old + new"
"49","CSU00000","WC-055",2024,26,"2024-06-26","LC","L","Pipiens",0,NA,NA,NA,NA,"BE","old + new"
"50","CDC048","BE-001",2024,27,"2024-07-03","LC","L","Tarsalis",8,0,TRUE,TRUE,NA,"BE","old + new"
"51","CDC049","BE-001",2024,27,"2024-07-03","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"52","CDC050","BE-001",2024,27,"2024-07-03","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"53","CDC051","BE-001",2024,27,"2024-07-03","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"54","CDC052","BE-001",2024,27,"2024-07-03","LC","L","Tarsalis",28,0,TRUE,TRUE,NA,"BE","old + new"
"55","CDC047","BE-001",2024,27,"2024-07-03","LC","L","Pipiens",2,0,TRUE,TRUE,NA,"BE","old + new"
"56","CDC038","BE-002",2024,27,"2024-07-03","LC","L","Tarsalis",50,0,TRUE,TRUE,NA,"BE","old + new"
"57","CDC039","BE-002",2024,27,"2024-07-03","LC","L","Tarsalis",25,0,TRUE,FALSE,NA,"BE","old + new"
"58","CDC040","BE-002",2024,27,"2024-07-03","LC","L","Tarsalis",3,0,TRUE,TRUE,NA,"BE","old + new"
"59","CDC056","BE-002",2024,27,"2024-07-03","LC","L","Tarsalis",4,0,TRUE,FALSE,NA,"BE","old + new"
"60","CDC041","BE-002",2024,27,"2024-07-03","LC","L","Pipiens",2,0,TRUE,TRUE,NA,"BE","old + new"
"61","CDC054","BE-003",2024,27,"2024-07-03","LC","L","Tarsalis",40,0,TRUE,FALSE,NA,"BE","old + new"
"62","CDC055","BE-003",2024,27,"2024-07-03","LC","L","Tarsalis",2,0,TRUE,FALSE,NA,"BE","old + new"
"63","CDC057","BE-003",2024,27,"2024-07-03","LC","L","Tarsalis",2,0,TRUE,FALSE,NA,"BE","old + new"
"64","CDC053","BE-003",2024,27,"2024-07-03","LC","L","Pipiens",2,0,TRUE,TRUE,NA,"BE","old + new"
"65","CDC043","BE-004",2024,27,"2024-07-03","LC","L","Tarsalis",5,0,TRUE,TRUE,NA,"BE","old + new"
"66","CDC044","BE-004",2024,27,"2024-07-03","LC","L","Tarsalis",36,0,TRUE,TRUE,NA,"BE","old + new"
"67","CDC042","BE-004",2024,27,"2024-07-03","LC","L","Pipiens",7,0,TRUE,TRUE,NA,"BE","old + new"
"68","CDC046","BE-005",2024,27,"2024-07-03","LC","L","Tarsalis",28,0,TRUE,TRUE,NA,"BE","old + new"
"69","CDC045","BE-005",2024,27,"2024-07-03","LC","L","Pipiens",6,0,TRUE,TRUE,NA,"BE","old + new"
"70","CSU22105","LC-001",2024,27,"2024-07-03","LC","L","Tarsalis",42,0,TRUE,FALSE,NA,"BE","old + new"
"71","CSU22106","LC-001",2024,27,"2024-07-03","LC","L","Pipiens",14,0,TRUE,FALSE,NA,"BE","old + new"
"72","CSU22110","LC-049",2024,27,"2024-07-03","LC","L","Tarsalis",6,0,TRUE,TRUE,NA,"BE","old + new"
"73","CSU22111","LC-049",2024,27,"2024-07-03","LC","L","Pipiens",1,0,TRUE,TRUE,NA,"BE","old + new"
"74","CSU22103","LC-053",2024,27,"2024-07-03","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"75","CSU22104","LC-053",2024,27,"2024-07-03","LC","L","Tarsalis",5,0,TRUE,TRUE,NA,"BE","old + new"
"76","CSU00000","LC-053",2024,27,"2024-07-03","LC","L","Pipiens",0,NA,NA,NA,NA,"BE","old + new"
"77","CSU22108","LC-054",2024,27,"2024-07-03","LC","L","Tarsalis",44,0,TRUE,FALSE,NA,"BE","old + new"
"78","CSU22109","LC-054",2024,27,"2024-07-03","LC","L","Pipiens",1,0,TRUE,TRUE,NA,"BE","old + new"
"79","CSU22107","WC-055",2024,27,"2024-07-03","LC","L","Tarsalis",2,0,TRUE,TRUE,NA,"BE","old + new"
"80","CSU00000","WC-055",2024,27,"2024-07-03","LC","L","Pipiens",0,NA,NA,NA,NA,"BE","old + new"
"81","CDC061","BE-001",2024,28,"2024-07-10","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"82","CDC071","BE-001",2024,28,"2024-07-10","LC","L","Tarsalis",5,0,TRUE,FALSE,NA,"BE","old + new"
"83","CDC072","BE-001",2024,28,"2024-07-10","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"84","CDC073","BE-001",2024,28,"2024-07-10","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"85","CDC074","BE-001",2024,28,"2024-07-10","LC","L","Tarsalis",27,0,TRUE,FALSE,NA,"BE","old + new"
"86","CDC070","BE-001",2024,28,"2024-07-10","LC","L","Pipiens",21,0,TRUE,FALSE,NA,"BE","old + new"
"87","CDC065","BE-003",2024,28,"2024-07-10","LC","L","Tarsalis",1,0,TRUE,FALSE,NA,"BE","old + new"
"88","CDC066","BE-003",2024,28,"2024-07-10","LC","L","Tarsalis",9,0,TRUE,FALSE,NA,"BE","old + new"
"89","CDC067","BE-003",2024,28,"2024-07-10","LC","L","Pipiens",2,1,TRUE,TRUE,NA,"BE","old + new"
"90","CDC062","BE-004",2024,28,"2024-07-10","LC","L","Tarsalis",8,0,TRUE,FALSE,NA,"BE","old + new"
"91","CDC063","BE-004",2024,28,"2024-07-10","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"92","CDC064","BE-004",2024,28,"2024-07-10","LC","L","Tarsalis",49,0,TRUE,FALSE,NA,"BE","old + new"
"93","CDC068","BE-004",2024,28,"2024-07-10","LC","L","Pipiens",1,0,TRUE,FALSE,NA,"BE","old + new"
"94","CDC069","BE-004",2024,28,"2024-07-10","LC","L","Pipiens",17,0,TRUE,FALSE,NA,"BE","old + new"
"95","CDC058","BE-005",2024,28,"2024-07-10","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"96","CDC059","BE-005",2024,28,"2024-07-10","LC","L","Tarsalis",7,0,TRUE,TRUE,NA,"BE","old + new"
"97","CDC060","BE-005",2024,28,"2024-07-10","LC","L","Tarsalis",2,0,TRUE,FALSE,NA,"BE","old + new"
"98","CSU00000","BE-005",2024,28,"2024-07-10","LC","L","Pipiens",0,NA,NA,NA,NA,"BE","old + new"
"99","CSU22177","LC-001",2024,28,"2024-07-10","LC","L","Tarsalis",44,0,TRUE,FALSE,NA,"BE","old + new"
"100","CSU22178","LC-001",2024,28,"2024-07-10","LC","L","Pipiens",7,0,TRUE,FALSE,NA,"BE","old + new"
"101","CSU22179","LC-049",2024,28,"2024-07-10","LC","L","Tarsalis",41,0,TRUE,FALSE,NA,"BE","old + new"
"102","CSU00000","LC-049",2024,28,"2024-07-10","LC","L","Pipiens",0,NA,NA,NA,NA,"BE","old + new"
"103","CSU22172","LC-053",2024,28,"2024-07-10","LC","L","Tarsalis",12,0,TRUE,FALSE,NA,"BE","old + new"
"104","CSU00000","LC-053",2024,28,"2024-07-10","LC","L","Pipiens",0,NA,NA,NA,NA,"BE","old + new"
"105","CSU22174","LC-054",2024,28,"2024-07-10","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"106","CSU22175","LC-054",2024,28,"2024-07-10","LC","L","Tarsalis",22,0,TRUE,FALSE,NA,"BE","old + new"
"107","CSU22176","LC-054",2024,28,"2024-07-10","LC","L","Pipiens",1,0,TRUE,TRUE,NA,"BE","old + new"
"108","CSU22173","WC-055",2024,28,"2024-07-10","LC","L","Tarsalis",5,0,TRUE,TRUE,NA,"BE","old + new"
"109","CSU00000","WC-055",2024,28,"2024-07-10","LC","L","Pipiens",0,NA,NA,NA,NA,"BE","old + new"
"110","CDC087","BE-001",2024,29,"2024-07-17","LC","L","Tarsalis",6,1,TRUE,TRUE,NA,"BE","old + new"
"111","CDC088","BE-001",2024,29,"2024-07-17","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"112","CDC089","BE-001",2024,29,"2024-07-17","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"113","CDC090","BE-001",2024,29,"2024-07-17","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"114","CDC092","BE-001",2024,29,"2024-07-17","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"115","CDC093","BE-001",2024,29,"2024-07-17","LC","L","Tarsalis",24,0,TRUE,FALSE,NA,"BE","old + new"
"116","CDC097","BE-001",2024,29,"2024-07-17","LC","L","Tarsalis",50,0,TRUE,TRUE,NA,"BE","old + new"
"117","CDC098","BE-001",2024,29,"2024-07-17","LC","L","Tarsalis",18,0,TRUE,FALSE,NA,"BE","old + new"
"118","CDC099","BE-001",2024,29,"2024-07-17","LC","L","Tarsalis",2,1,TRUE,TRUE,NA,"BE","old + new"
"119","CDC086","BE-001",2024,29,"2024-07-17","LC","L","Pipiens",3,0,TRUE,FALSE,NA,"BE","old + new"
"120","CDC080","BE-002",2024,29,"2024-07-17","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"121","CDC081","BE-002",2024,29,"2024-07-17","LC","L","Tarsalis",50,1,TRUE,TRUE,NA,"BE","old + new"
"122","CDC082","BE-002",2024,29,"2024-07-17","LC","L","Tarsalis",3,0,TRUE,FALSE,NA,"BE","old + new"
"123","CDC083","BE-002",2024,29,"2024-07-17","LC","L","Tarsalis",3,0,TRUE,FALSE,NA,"BE","old + new"
"124","CDC084","BE-002",2024,29,"2024-07-17","LC","L","Pipiens",4,0,TRUE,FALSE,NA,"BE","old + new"
"125","CDC076","BE-003",2024,29,"2024-07-17","LC","L","Tarsalis",3,0,TRUE,FALSE,NA,"BE","old + new"
"126","CSU00000","BE-003",2024,29,"2024-07-17","LC","L","Pipiens",0,NA,NA,NA,NA,"BE","old + new"
"127","CDC085","BE-004",2024,29,"2024-07-17","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"128","CDC091","BE-004",2024,29,"2024-07-17","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"129","CDC094","BE-004",2024,29,"2024-07-17","LC","L","Tarsalis",42,0,TRUE,FALSE,NA,"BE","old + new"
"130","CDC095","BE-004",2024,29,"2024-07-17","LC","L","Tarsalis",19,0,TRUE,FALSE,NA,"BE","old + new"
"131","CDC096","BE-004",2024,29,"2024-07-17","LC","L","Pipiens",22,0,TRUE,FALSE,NA,"BE","old + new"
"132","CDC100","BE-004",2024,29,"2024-07-17","LC","L","Pipiens",1,0,TRUE,FALSE,NA,"BE","old + new"
"133","CDC077","BE-005",2024,29,"2024-07-17","LC","L","Tarsalis",3,0,TRUE,TRUE,NA,"BE","old + new"
"134","CDC078","BE-005",2024,29,"2024-07-17","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"135","CDC079","BE-005",2024,29,"2024-07-17","LC","L","Tarsalis",29,0,TRUE,FALSE,NA,"BE","old + new"
"136","CDC075","BE-005",2024,29,"2024-07-17","LC","L","Pipiens",3,0,TRUE,FALSE,NA,"BE","old + new"
"137","CSU22311","LC-001",2024,29,"2024-07-17","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"138","CSU22312","LC-001",2024,29,"2024-07-17","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"139","CSU22313","LC-001",2024,29,"2024-07-17","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"140","CSU22314","LC-001",2024,29,"2024-07-17","LC","L","Tarsalis",38,0,TRUE,FALSE,NA,"BE","old + new"
"141","CSU22315","LC-001",2024,29,"2024-07-17","LC","L","Pipiens",31,0,TRUE,FALSE,NA,"BE","old + new"
"142","CSU22306","LC-049",2024,29,"2024-07-17","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"143","CSU22307","LC-049",2024,29,"2024-07-17","LC","L","Tarsalis",28,0,TRUE,FALSE,NA,"BE","old + new"
"144","CSU22308","LC-049",2024,29,"2024-07-17","LC","L","Pipiens",2,0,TRUE,TRUE,NA,"BE","old + new"
"145","CSU22302","LC-053",2024,29,"2024-07-17","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"146","CSU22303","LC-053",2024,29,"2024-07-17","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"147","CSU22304","LC-053",2024,29,"2024-07-17","LC","L","Tarsalis",40,0,TRUE,FALSE,NA,"BE","old + new"
"148","CSU00000","LC-053",2024,29,"2024-07-17","LC","L","Pipiens",0,NA,NA,NA,NA,"BE","old + new"
"149","CSU22300","LC-054",2024,29,"2024-07-17","LC","L","Tarsalis",1,0,TRUE,FALSE,NA,"BE","old + new"
"150","CSU00000","LC-054",2024,29,"2024-07-17","LC","L","Pipiens",0,NA,NA,NA,NA,"BE","old + new"
"151","CSU22301","WC-055",2024,29,"2024-07-17","LC","L","Tarsalis",10,0,TRUE,FALSE,NA,"BE","old + new"
"152","CSU00000","WC-055",2024,29,"2024-07-17","LC","L","Pipiens",0,NA,NA,NA,NA,"BE","old + new"
"153","CDC104","BE-001",2024,30,"2024-07-24","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"154","CDC105","BE-001",2024,30,"2024-07-24","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"155","CDC110","BE-001",2024,30,"2024-07-24","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"156","CDC111","BE-001",2024,30,"2024-07-24","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"157","CDC112","BE-001",2024,30,"2024-07-24","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"158","CDC113","BE-001",2024,30,"2024-07-24","LC","L","Tarsalis",38,0,TRUE,FALSE,NA,"BE","old + new"
"159","CDC114","BE-001",2024,30,"2024-07-24","LC","L","Tarsalis",24,0,TRUE,FALSE,NA,"BE","old + new"
"160","CDC116","BE-001",2024,30,"2024-07-24","LC","L","Tarsalis",3,0,TRUE,TRUE,NA,"BE","old + new"
"161","CDC115","BE-001",2024,30,"2024-07-24","LC","L","Pipiens",5,0,TRUE,FALSE,NA,"BE","old + new"
"162","CDC118","BE-002",2024,30,"2024-07-24","LC","L","Tarsalis",8,0,TRUE,FALSE,NA,"BE","old + new"
"163","CDC119","BE-002",2024,30,"2024-07-24","LC","L","Tarsalis",50,1,TRUE,TRUE,NA,"BE","old + new"
"164","CDC120","BE-002",2024,30,"2024-07-24","LC","L","Tarsalis",50,0,TRUE,FALSE,NA,"BE","old + new"
"165","CDC121","BE-002",2024,30,"2024-07-24","LC","L","Tarsalis",36,0,TRUE,FALSE,NA,"BE","old + new"
"166","CDC117","BE-002",2024,30,"2024-07-24","LC","L","Pipiens",9,0,TRUE,TRUE,NA,"BE","old + new"
"167","CDC107","BE-004",2024,30,"2024-07-24","LC","L","Tarsalis",6,0,TRUE,FALSE,NA,"BE","old + new"
